1	-0.11787	-1.9988
1	0.49982	0.18094
1	-0.1392	-0.67176
1	-0.12807	-1.1604
1	-0.12436	-4.0661
1	-1.095	0.084761
1	0.3327	-2.6672
1	-1.9264	-2.6514
1	-0.49924	-0.13572
1	-1.0433	0.36372
1	0.12547	-1.673
1	0.56007	-0.39822
1	-0.19099	-0.79027
1	0.36666	-1.6345
1	0.3439	-1.4238
1	-2.0129	0.19152
1	-0.29199	0.97671
1	1.7659	0.44211
1	-0.09422	-2.6091
1	0.41411	-0.4673
1	1.3037	0.38892
1	-0.60393	-2.0368
1	0.0052415	-0.62402
1	0.89409	1.7769
1	-0.74372	-0.52072
1	0.54208	-2.4323
1	0.60223	-1.2161
1	0.72909	-1.9108
1	1.2093	-2.9866
1	0.26285	-0.072705
1	-0.60284	-2.2719
1	1.2339	-0.72143
1	1.0847	-2.1322
1	0.018366	2.0323
1	-0.56066	-0.48649
1	1.1323	-2.8808
1	-0.37538	-0.23961
1	-0.20524	-0.87579
1	-3.1008	-2.6012
1	-0.46336	-1.052
1	-0.93703	-1.6317
1	-0.84474	-2.9907
1	-1.0145	-0.82316
1	-0.18596	-0.50651
1	-1.4236	-1.1111
1	0.26368	-1.8374
1	0.014699	-1.8653
1	1.143	1.1667
-1	3.8022	2.0581
-1	0.64911	3.9417
-1	6.5557	1.4998
-1	3.7267	1.4835
-1	5.424	0.65647
-1	4.3973	-0.31132
-1	3.6881	2.6211
-1	3.7782	2.6835
-1	2.4057	2.7459
-1	2.3944	2.2389
-1	3.2763	2.858
-1	3.1312	2.7179
-1	4.82	2.36
-1	3.3128	-0.16865
-1	5.8087	-0.0072451
-1	3.1117	2.4439
-1	3.3097	3.6421
-1	3.9023	0.26172
-1	5.6646	0.48255
-1	3.2175	1.3415
-1	3.5226	1.3678
-1	3.9856	2.9344
-1	4.2289	2.3312
-1	3.0763	2.0471
-1	2.9244	2.5933
-1	3.5681	0.82579
-1	4.4544	2.9525
-1	4.8229	0.073303
-1	3.2829	2.276
-1	3.8246	2.8336
-1	3.5549	1.8326
-1	4.4349	2.7416
-1	3.5155	2.5141
-1	2.6352	3.0089
-1	5.2456	2.1582
-1	3.3034	1.7922
-1	2.7013	4.1289
-1	2.9957	2.4838
-1	4.2855	2.3151
-1	4.3069	2.005
-1	2.0082	3.3196
-1	1.9984	2.2252
-1	5.8159	2.0311
-1	3.4779	3.031
-1	4.6864	1.6295
-1	3.4351	3.1578
-1	2.3416	3.7689
-1	4.3844	-0.18844
-1	3.7555	1.7817
-1	5.7327	1.0718
-1	4.4187	0.22941
