1, 90, 91
2, 90, 41
3, 90, 55
4, 90, 91
5, 90, 91
6, 90, 79
7, 90, 86
8, 90, 81
9, 90, 88
10, 90, 89
11, 90, 89
12, 90, 89
13, 90, 90
14, 90, 89
15, 90, 77
16, 90, 88
17, 90, 89
18, 90, 86
19, 90, 89
20, 90, 84
21, 90, 90
22, 90, 10
23, 90, 90
24, 90, 88
25, 90, 89
26, 90, 88
27, 90, 89
28, 90, 91
29, 90, 91
30, 90, 75
31, 90, 91
32, 90, 88
33, 90, 81
34, 90, 91
35, 90, 89
36, 90, 88
37, 90, 89
38, 90, 91
39, 90, 80
40, 90, 89
41, 90, 88
42, 90, 89
43, 90, 90
44, 90, 91
45, 90, 89
46, 90, 88
47, 90, 91
48, 90, 89
49, 90, 91
50, 90, 89
51, 90, 81
52, 90, 91
53, 90, 86
54, 90, 91
55, 90, 91
56, 90, 83
57, 90, 80
58, 90, 90
59, 90, 88
60, 90, 90
61, 90, 76
62, 90, 90
63, 90, 90
64, 90, 88
65, 90, 91
66, 90, 91
67, 90, 79
68, 90, 89
69, 90, 86
70, 90, 91
71, 90, 89
72, 90, 88
73, 90, 91
74, 90, 86
75, 90, 91
76, 90, 91
77, 90, 88
78, 90, 88
79, 90, 86
80, 90, 91
81, 90, 91
82, 90, 43
83, 90, 88
84, 90, 78
85, 90, 89
86, 90, 90
87, 90, 86
88, 90, 91
89, 90, 89
90, 90, 88
91, 90, 91
92, 90, 89
93, 90, 89
94, 90, 84
95, 90, 36
96, 90, 91
97, 90, 86
98, 90, 91
99, 90, 88
100, 90, 78
